EnglishName,ChineseName,dictFileName,dictSize
Hindi,印地语,hi_HINGLISH_0_0_10,134336
Hindi,印地语,hi_HINGLISH_12_0_1,1979503
Hindi,印地语,hi_HINGLISH_12_12_2,371372
  Gujarati   ,古吉拉特语,gu_0_0_2,2777051
  English,英语,en_0_0_1,1730278
 Russian,俄语,ru_0_0_2,5712017
Vietnamese ,越南语,vi_0_0_5,1392340
   Bengali,孟加拉语,bn_0_0_2,2147342
 French ,法语,fr_0_0_1,3196067
 French ,法语,fr_12_0_1,3518241
   Urdu   ,乌尔都语,ur_0_0_3,2386516
   Arabic ,阿拉伯语,ar_0_0_2,4103154
  Gujarati   ,古吉拉特语,gu_GUJLISH_0_0_3,185950
  Gujarati   ,古吉拉特语,gu_GUJLISH_12_0_1,2285845
  Gujarati   ,古吉拉特语,gu_GUJLISH_12_12_1,103664
Hindi,印地语,hi_0_0_2,1476397
   Bengali,孟加拉语,bn_BANGLISH_0_0_3,357697
   Bengali,孟加拉语,bn_BANGLISH_12_0_1,1330336
   Bengali,孟加拉语,bn_BANGLISH_12_12_1,31687
